ID,Name:,Hersteller:,Erzeugnis aus:,Region:,Wein:,Jahrgang:,Rebsorte:,Qualität:,Alkohol in %:,Geschmack:,Allergene:,Ausbauart:,Trinktemperatur in °C:,Trinkempfehlung:,Verschluß:,Auszeichnungen:,Paßt zu:,Lage:,Boden:,Essen:,Herstellung:,Dekantieren:,Säure g/l:,Restzucker g/l:,Produkt aus biologischem Anbau:,Biokontrollstelle:,Diverses:,Zutaten:,Verkäufer:,Verkostungsnotiz:
247,"   Domaine Lorenzon   2018 Mercurey Rouge 1er Cru ""Les Champs Martin"" "," Domaine Lorenzon, 14 Rue du Réu, 71640 Mercurey ", Frankreich , Bourgogne , Rotwein ,2018, Blauer Spätburgunder/Pinot Noir/Pinot Nero , AOC , 13 , trocken , Enthält Sulfite , Barriquefaß , 14 - 18 , 2022 - 2050 , Naturkork , Robert Parker ,,,,,, etwa 30 Minuten ,,,,,,,1," William Kelley, wine advocate, Juni 2020: „The 2018 Mercurey 1er Cru Champs Martin Rouge offers up brooding aromas of plums, blackberries and cassis, complemented by hints of dark chocolate and smoked meats. Medium to full-bodied, supple and enveloping, it's fleshy and gourmand, with a dramatic core of fruit, powdery tannins and succulent acids. A worthy successor to the terrific 2017, this has turned out very well.“"
248,   Schloss Gobelsburg   2018 Zweigelt Domaene Gobelsburg ," Schloss Gobelsburg, Weingut Schloss Gobelsburg GmbH, Schlossstraße 16, A-3550 Gobelsburg ", Österreich , Kamptal , Rotwein ,2018, Zweigelt , DAC Kamptal , 12.5 , trocken , Enthält Sulfite , Edelstahltank , 14 - 18 , bis 2021+ , Naturkork ,,,,,,, etwa 30 Minuten ,,,,,,,1," Leuchtend rubinrot mit leichtem, violetten Schimmer. Fruchtige, würzige Nase mit Aromen von Kirschen und Brombeeren, dazu Gewürzige Aromen. Am Gaumen ist der 2017 Zweigelt saftig, fruchtig, mit eleganter Frucht und harmonischer, frischer Säure. Er ist ein exzellenter Speisenbegleiter."
249,   Isole e Olena s.r.l.   2016 Cepparello Toscana IGT ," Isole e Olena s.r.l., Località Isole, 1, 50021 Barberino Tavarnelle FI, Italien ", Italien , Toscana , Rotwein ,2016, Sangiovese , Chianti Classico , 15.0 , trocken , Enthält Sulfite ,, 14 - 18 , 2021 - 2045 , Naturkork ," Falstaff, Robert Parker "," Rindersteaks, Wild ",,,,, etwa 30 Minuten ,,,,,,,1," Monika Larner, wine advocate, September 2019: „The beautiful Isole e Olena 2016 Cepparello is a gorgeous and precise expression of Sangiovese. This is one of the icon wines of the vintage that shows a naked and transparent portrait of the grape on the one hand, with the complexity of the vintage and its territory on the other. Cepparello is like a crystal ball into the heart and soul of Sangiovese, Tuscany's mighty red grape. It is fermented in conical oak casks and later aged 20 months in 95% French and 5% American oak, of which only one-third is new wood. The wine delivers ample structure and contouring, with a firm and silky consistency at its core. Some 42,000 bottles were made. This wine should age over the better part of the next 20 years.“ Antonio Galloni, Vinous, August 2019: „The 2016 Cepparello is dense, dark and also very closed in on itself. Those qualities bode well for the future, but readers will have to be patient, as the 2016 is going to need at least a few years to come into its own. Black cherry, plum, lavender, spice and new leather gradually open up in the glass, but the 2016 is not ready to show all of its cards. This fruit was brought in during the second week of October, which is pretty much optimal at Isole e Olena. The 2016 spent 20 months in French oak, with a bit less than 30% new oak, and a few months in cask prior to bottling. An explosion of floral and spice notes punctuates the super-refined finish. The 2016 is shaping up to be epic. Don't miss it!“"
250,   Azienda Agricola Elio Grasso   2016 Barolo DOCG 'Ginestra Casa Maté' ," Azienda Agricola Elio Grasso, Via Ginestra, 12065 Monforte d'Alba CN, Italien ", Italien , Piemont , Rotwein ,2016, Nebbiolo ," Barolo DOCG, Premiumwein ", 15.0 , trocken , Enthält Sulfite ," Edelstahltank, großes Holzfaß, Spontangärung ", 14 - 18 , 2022 - 2045 , Naturkork , Antonio Galloni Vinous ," Gemüselasagne, Rinderfilet, Risotto mit Trüffeln ",Montforte d'Alba,Lehm und Kalkstein,,"Spontangärung, großes Holzfaß", mehr als 60 Minuten ,,,,,,,1," Antonio Galloni, Vinous, Februar 2020: „Ample and creamy on the palate, with tremendous depth, the 2016 Barolo Ginestra Casa Matè is super impressive, even in the early going. Next to the Gavarini Chiniera, the Ginestra Casa Matè is a Barolo of textural resonance and volume. Black cherry, plum and a range of balsamic notes infuse the 2016 with tons of character. The is one of the real standouts of the year.“"
251,   Azienda Agricola Elio Grasso   2016 Barolo DOCG 'Gavarini Chiniera' ," Azienda Agricola Elio Grasso, Via Ginestra, 12065 Monforte d'Alba CN, Italien ", Italien , Piemont , Rotwein ,2016, Nebbiolo ," Barolo DOCG, Premiumwein ", 14.5 , trocken , Enthält Sulfite ," Edelstahltank, großes Holzfaß, Spontangärung ", 14 - 18 , 2023 - 2043 , Naturkork , Antonio Galloni Vinous ," Gemüselasagne, Rinderfilet, Risotto mit Trüffeln ",Montforte d'Alba,Lehm und Kalkstein,,"Spontangärung, großes Holzfaß", mehr als 60 Minuten ,,,,,,,1," Antonio Galloni, Vinous, Februar 2020: „The 2016 Barolo Gavarini Chiniera is a vibrant, massively tannic, austere wine, the likes of which I have never tasted here before. Vertical and explosive in the glass with tons of pure power, the 2016 Gavarini Chiniera is a gorgeous Barolo that is going to need a number of years to be at its best. Swaths of tannin wrap around a core of sweet red cherry fruit. White pepper, mint, orange peel and floral notes develop a bit later, but the 2016 remains reticent and inward, with brilliant acids and tannins that dominate today. The 2016 is a striking wine, but it is going to require considerable patience.“"
252,   Azienda Agricola Elio Grasso   2016 Barolo DOCG 'Ginestra Casa Maté' Magnum ," Azienda Agricola Elio Grasso, Via Ginestra, 12065 Monforte d'Alba CN, Italien ", Italien , Piemont , Rotwein ,2016, Nebbiolo ," Barolo DOCG, Premiumwein ", 15.0 , trocken , Enthält Sulfite ," Edelstahltank, großes Holzfaß, Spontangärung ", 14 - 18 , 2022 - 2045 , Naturkork , Antonio Galloni Vinous ," Gemüselasagne, Rinderfilet, Risotto mit Trüffeln ",Montforte d'Alba,Lehm und Kalkstein,,"Spontangärung, großes Holzfaß", mehr als 60 Minuten ,,,,,,,1," Antonio Galloni, Vinous, Februar 2020: „Ample and creamy on the palate, with tremendous depth, the 2016 Barolo Ginestra Casa Matè is super impressive, even in the early going. Next to the Gavarini Chiniera, the Ginestra Casa Matè is a Barolo of textural resonance and volume. Black cherry, plum and a range of balsamic notes infuse the 2016 with tons of character. The is one of the real standouts of the year.“"
253,   Azienda Agricola Elio Grasso   2016 Barolo DOCG 'Gavarini Chiniera' Magnum ," Azienda Agricola Elio Grasso, Via Ginestra, 12065 Monforte d'Alba CN, Italien ", Italien , Piemont , Rotwein ,2016, Nebbiolo ," Barolo DOCG, Premiumwein ", 14.5 , trocken , Enthält Sulfite ," Edelstahltank, großes Holzfaß, Spontangärung ", 14 - 18 , 2023 - 2043 , Naturkork , Antonio Galloni Vinous ," Gemüselasagne, Rinderfilet, Risotto mit Trüffeln ",Montforte d'Alba,Lehm und Kalkstein,,"Spontangärung, großes Holzfaß", mehr als 60 Minuten ,,,,,,,1," Antonio Galloni, Vinous, Februar 2020: „The 2016 Barolo Gavarini Chiniera is a vibrant, massively tannic, austere wine, the likes of which I have never tasted here before. Vertical and explosive in the glass with tons of pure power, the 2016 Gavarini Chiniera is a gorgeous Barolo that is going to need a number of years to be at its best. Swaths of tannin wrap around a core of sweet red cherry fruit. White pepper, mint, orange peel and floral notes develop a bit later, but the 2016 remains reticent and inward, with brilliant acids and tannins that dominate today. The 2016 is a striking wine, but it is going to require considerable patience.“"
254,   Azienda Agricola Elio Grasso   2013 Barolo DOCG Riserva 'Rüncot' Magnum ," Azienda Agricola Elio Grasso, Via Ginestra, 12065 Monforte d'Alba CN, Italien ", Italien , Piemont , Rotwein ,2013, Nebbiolo ," Barolo DOCG, Premiumwein ", 14.5 , trocken , Enthält Sulfite ," Edelstahltank, Barriquefaß, Spontangärung ", 14 - 18 , 2023 - 2055 , Naturkork , Robert Parker ," Gemüselasagne, Rinderfilet, Risotto mit Trüffeln ",Montforte d'Alba,Lehm und Kalkstein,,"Spontangärung, großes Holzfaß", etwa 60 Minuten ,,,,,,,1," Monica Larner, wine advocate, Juni 2019: „If any Italian wine from this decade can undeniably be called a reserve, it is the 2013 Barolo Riserva Rüncot. This wine was not made in 2011, 2012, 2014, 2017 nor 2018. (The 2013 vintage will be released commercially in February of 2020, and this is the wine's first official review.) Gianluca Grasso holds the precious bottle I tasted from as if it were a newborn child. This vintage saw a relatively long growing season, and it offers greater fruit density, structure and acidity than the last edition that was made, the 2010. There is more vibrancy here and a true sense of energy brimming right there under the surface. The wine goes through 45 days of extended maceration post-fermentation and then a solid seven years of aging between oak and bottle. The resulting Riserva Rüncot has a stunning bouquet that is all violets and prunes, followed by a classic palate of minerals, herbs, cinnamon and delicate wafts of white truffle. This wine tells a story from nose to finish, like a flashing film reel. Fewer than 5,000 bottles were made. This is a crowning achievement for the hard-working and passionate Grasso family, led by father Elio and son Gianluca. Congratulations.“"
255,"   Bodegas Lanzaga, Telmo Rodriguez, Bioweingut   2014 Rioja 'Lanzaga', Bodega Lanzaga "," Bodegas Lanzaga, Telmo Rodriguez, Bioweingut, Bodegas Lanzaga, El Monte s/n, 01308 Lanciego, Spanien ", Spanien , Rioja , Rotwein ,2014," Garnacha, Graciano, Tempranillo ", Rioja DOCa , 14 , trocken , Enthält Sulfite ," Barriquefaß, großes Holzfaß ", 14 - 18 , bis 2022+ , Naturkork , Robert Parker ," Lamm, Rinderbraten ",In den Ausläufern der Sierra Cantabria,Kalkgestein,Lamm- und Rinderbraten,, etwa 30 Minuten ,,, Bio nach EU Ökoverordnung ,ES-ECO-026-VAS,,,1," Luis Gutiérrez, wine advocate, Juni 2019: „I previewed three vintages of the village red form Lanciego in Rioja, starting with the 2014 Lanzaga. This was a great opportunity to check how the wine is evolving. They used larger barrels and are making the wine more transparent and increasing the amount of other grapes (it probably has less Tempranillo since perhaps 2012), and I see incremental improvements in quality. Of course, you have to take into account the conditions of the growing season. Here you see more ripeness than in 2013, but it feels very balanced and harmonious, with fine tannins and a tasty finish. 19,400 bottles produced. They have gradually reduced the quantity of bottles to increase the quality.“"
256,   Az. Agr. Casanova di Neri   2015 Brunello di Montalcino ," Az. Agr. Casanova di Neri, Podere Fiesole - SP 14 Via Traversa dei Monti, KM 31,800 - 53024 Montalcino (SI) - Italia ", Italien , Toscana , Rotwein ,2015, Sangiovese Grosso ," DOCG, Premiumwein ", 14.5 , trocken , Enthält Sulfite ," Edelstahltank, Barriquefaß ", 14 - 18 , 2021 - 2035 , Naturkork ," James Suckling, Robert Parker ",,,Eisenhaltige Lehmböden,,,,, < 1.0 ,,,,,1," James Suckling, Oktober 2019: „There’s beauty and drinkability to this wine that really is enticing with blueberry and cherry aromas, as well as hints of hot stone and licorice. Medium to full body, integrated tannins and a fresh and polished finish. Shows focus and brightness. Very drinkable now, but better in a year or two. Try in 2021. 94/100“ Monica Larner, wine advocate, Januar 2020: „The Neri family has created a classic expression of Sangiovese from a classic vintage, while remaining faithful to the house style. In a nutshell, these wines always tend to offer dark plum, clove and fig confit over the tiny berry and blue flower aromas you get from the traditionalists. That said, this Brunello needs ample time to open, and I suggest you splash it into the decanter. The Casanova di Neri 2015 Brunello di Montalcino (this is the one with the white label) stays safely within your expectation of the vintage with its variety-driven aromas of wild berry, licorice, blue flower and balsam herb. This wine sees fruit sourced from a vineyard on the northeast side of Montalcino, with Galestro soils ranging from 330 to 480 meters above sea level. Some 95,376 bottles were made. It was bottled in June 2019, and it hit the market in January 2020. You might want more from the aromatics (while you wait for the bouquet to come around), but this wine goes gangbusters in terms of mid-palate and overall texture.“"
257,   Markus Schneider   2016 STEINSATZ Rotwein ," Markus Schneider, Markus Schneider GbR, Am Hohen Weg 1, 67158 Ellerstadt ", Deutschland , Pfalz , Rotwein ,2016," Cabernet Franc, Cabernet Sauvignon, Merlot ", Qualitätswein , 14.5 , trocken , Enthält Sulfite , Barriquefaß , 14 - 18 , bis 2024+ , Naturkork ,,,,,,, etwa 30 Minuten ,,,,,,,1,
258,   Domaine Blain-Gagnard   2017 Volnay Rouge 1er Cru Les Pitures ," Domaine Blain-Gagnard, 17 Route de Santenay, 21190 Chassagne-Montrachet, Frankreich ", Frankreich , Bourgogne , Rotwein ,2017, Blauer Spätburgunder/Pinot Noir/Pinot Nero ," AOC, Premiumwein ", 13 , trocken , Enthält Sulfite , Barriquefaß , 16 - 18 ,, Naturkork , Wein Direktimport ,,,,,,,,,,,,,1," Wir konnten den 2017 Pitures im März 2018 direkt aus dem Faß verkosten, die malolaktische Fermentation war soeben abgeschlossen. Die Nase war sehr fein, komplex und bereits sehr ansprechend. Am Gaumen setzte sich die feine, elegante Stilistik fort, einzig das noch etwas ungestüme Tanin bremste den Schluckreflex. Die Struktur ist perfekt, der Wein überzeugte mit langem und überraschend feinem Finale. Gönnen Sie ihm noch zwei, drei Jahre Reifezeit."
259,   Domaine Blain-Gagnard   2017 Volnay Rouge 1er Cru Champans ," Domaine Blain-Gagnard, 17 Route de Santenay, 21190 Chassagne-Montrachet, Frankreich ", Frankreich , Bourgogne , Rotwein ,2017, Blauer Spätburgunder/Pinot Noir/Pinot Nero ," AOC, Premiumwein ", 13 , trocken , Enthält Sulfite , Barriquefaß , 16 - 18 ,, Naturkork , Wein Direktimport ,,,,,,,,,,,,,1," Die Volnay von Blain Gagnard zählen zum zupackenden Typ Pinot Noir. Wir konnten den 2017 Champans direkt aus dem Faß verkosten, die malolaktische Fermentation war soeben abgeschlossen. Die Nase war gewaltig, ausgesprochen komplex und ansprechend. Der erste Probierschluck zeigte, wie jung dieser Wein im März 2018 war. Am Gaumen mit ausgeprägter, komplexer Aromatik, ergänzt von saftiger Frucht und zupackenden Gerbstoffen. Diese haben sich mittlerweile harmonisiert, aber der Wein benötigt noch zwei, drei Jahre um sich perfekt zu präsentieren."
260,   Domaine Blain-Gagnard   2017 Chassagne-Montrachet Rouge 1er Cru Morgeot ," Domaine Blain-Gagnard, 17 Route de Santenay, 21190 Chassagne-Montrachet, Frankreich ", Frankreich , Bourgogne , Rotwein ,2017, Blauer Spätburgunder/Pinot Noir/Pinot Nero ," AOC, Premiumwein ", 13 , trocken , Enthält Sulfite , Barriquefaß , 16 - 18 ,, Naturkork , Wein Direktimport ,,,,,, etwa 60 Minuten ,,,,,,,1," Der 2017 Chassagne-Montrachet Rouge 1er cru Morgeot ist ein druckvoller, dichter Rotwein und ausgesprochen typisch für diese wunderbare Lage. Die Nase ist hinreißend, viel dunkle Beere, Süß- und Sauerkirschen. Am Gaumen ist er kraftvoll, die Gerbstoffe sind derzeit noch etwas präsent aber bereits perfekt in die saftige, intensive Frucht eingebettet. Trotz aller Würze bleibt der Wein elegant. Dekantieren nicht vergessen, 60 Minuten reichen aus."
261,   Domaine Blain-Gagnard   2017 Chassagne-Montrachet Rouge 1er Cru Clos Saint Jean ," Domaine Blain-Gagnard, 17 Route de Santenay, 21190 Chassagne-Montrachet, Frankreich ", Frankreich , Bourgogne , Rotwein ,2017, Blauer Spätburgunder/Pinot Noir/Pinot Nero ," AOC, Premiumwein ", 13.5 , trocken , Enthält Sulfite , Barriquefaß , 16 - 18 ,, Naturkork , Wein Direktimport ,,,,,, etwa 60 Minuten ,,,,,,,1," Der 2017 Chassagne Montrachet Premier Cru Clos Saint Jean begeisterte uns im März 2018 (Faßprobe) mit der unglaublich präzisen, präsenten Aromatik. Die großartige, geschmeidige Struktur wird ergänzt von wunderbar saftiger, fast süßlicher Frucht und reifen Gerbstoffen. Bereits jetzt unglaublich charmant und nach 60 Minuten Aufenthalt im Dekanter prêt à boire."
